City,Date,AQI,AQI_Bucket
Visakhapatnam,2020-07-09,90,Satisfactory
Visakhapatnam,2020-07-10,85,Satisfactory
Visakhapatnam,2020-07-11,78,Satisfactory
Visakhapatnam,2020-07-12,86,Satisfactory
Visakhapatnam,2020-07-13,90,Satisfactory
Visakhapatnam,2020-07-14,89,Satisfactory
Visakhapatnam,2020-07-15,88,Satisfactory
Amritsar,2020-07-02,94,Satisfactory
Amritsar,2020-07-03,96,Satisfactory
Amritsar,2020-07-04,97,Satisfactory
Amritsar,2020-07-05,91,Satisfactory
Amritsar,2020-07-06,89,Satisfactory
Amritsar,2020-07-07,94,Satisfactory
Amritsar,2020-07-08,91,Satisfactory
Amritsar,2020-07-09,96,Satisfactory
Amritsar,2020-07-10,90,Satisfactory
Amritsar,2020-07-11,98,Satisfactory
Amritsar,2020-07-12,95,Satisfactory
Amritsar,2020-07-13,93,Satisfactory
Amritsar,2020-07-14,94,Satisfactory
Amritsar,2020-07-15,97,Satisfactory
Jorapokhar,2020-07-02,94,Satisfactory
Jorapokhar,2020-07-03,104,Moderate
Jorapokhar,2020-07-04,114,Moderate
Jorapokhar,2020-07-05,170,Moderate
Jorapokhar,2020-07-06,117,Moderate
Jorapokhar,2020-07-07,119,Moderate
Jorapokhar,2020-07-08,109,Moderate
Jorapokhar,2020-07-09,114,Moderate
Jorapokhar,2020-07-10,116,Moderate
Jorapokhar,2020-07-11,108,Moderate
Jorapokhar,2020-07-12,113,Moderate
Jorapokhar,2020-07-13,120,Moderate
Jorapokhar,2020-07-14,98,Satisfactory
Jorapokhar,2020-07-15,110,Moderate
Jaipur,2020-07-02,78,Satisfactory
Jaipur,2020-07-03,77,Satisfactory
Jaipur,2020-07-04,82,Satisfactory
Jaipur,2020-07-05,82,Satisfactory
Jaipur,2020-07-06,87,Satisfactory
Jaipur,2020-07-07,91,Satisfactory
Jaipur,2020-07-08,105,Moderate
Jaipur,2020-07-09,109,Moderate
Jaipur,2020-07-10,116,Moderate
Jaipur,2020-07-11,107,Moderate
Jaipur,2020-07-12,105,Moderate
Jaipur,2020-07-13,105,Moderate
Jaipur,2020-07-14,106,Moderate
Jaipur,2020-07-15,106,Moderate
Thiruvananthapuram,2020-07-02,44,Good
Thiruvananthapuram,2020-07-03,50,Good
Thiruvananthapuram,2020-07-04,64,Satisfactory
Thiruvananthapuram,2020-07-05,53,Satisfactory
Thiruvananthapuram,2020-07-06,52,Satisfactory
Thiruvananthapuram,2020-07-07,53,Satisfactory
Thiruvananthapuram,2020-07-08,54,Satisfactory
Thiruvananthapuram,2020-07-09,53,Satisfactory
Thiruvananthapuram,2020-07-10,55,Satisfactory
Thiruvananthapuram,2020-07-11,54,Satisfactory
Thiruvananthapuram,2020-07-12,52,Satisfactory
Thiruvananthapuram,2020-07-13,54,Satisfactory
Thiruvananthapuram,2020-07-14,56,Satisfactory
Thiruvananthapuram,2020-07-15,54,Satisfactory
Amaravati,2020-07-02,56,Satisfactory
Amaravati,2020-07-03,57,Satisfactory
Amaravati,2020-07-04,60,Satisfactory
Amaravati,2020-07-05,63,Satisfactory
Amaravati,2020-07-06,59,Satisfactory
Amaravati,2020-07-07,57,Satisfactory
Amaravati,2020-07-08,56,Satisfactory
Amaravati,2020-07-09,51,Satisfactory
Amaravati,2020-07-10,51,Satisfactory
Amaravati,2020-07-11,56,Satisfactory
Amaravati,2020-07-12,55,Satisfactory
Amaravati,2020-07-13,62,Satisfactory
Amaravati,2020-07-14,62,Satisfactory
Amaravati,2020-07-15,62,Satisfactory
Brajrajnagar,2020-07-02,96,Satisfactory
Brajrajnagar,2020-07-03,97,Satisfactory
Brajrajnagar,2020-07-04,98,Satisfactory
Brajrajnagar,2020-07-05,95,Satisfactory
Brajrajnagar,2020-07-06,92,Satisfactory
Brajrajnagar,2020-07-07,86,Satisfactory
Brajrajnagar,2020-07-08,90,Satisfactory
Brajrajnagar,2020-07-09,94,Satisfactory
Brajrajnagar,2020-07-10,94,Satisfactory
Brajrajnagar,2020-07-11,94,Satisfactory
Brajrajnagar,2020-07-12,87,Satisfactory
Brajrajnagar,2020-07-13,93,Satisfactory
Brajrajnagar,2020-07-14,96,Satisfactory
Brajrajnagar,2020-07-15,97,Satisfactory
Talcher,2020-07-02,88,Satisfactory
Talcher,2020-07-03,93,Satisfactory
